date,majority_sentiment,average_sentiment
2020-07-03,1,0.9668229222297668
2020-07-07,0,0.8917509317398071
2020-07-12,2,0.6466733813285828
2020-07-13,0,0.5372692346572876
2020-07-14,1,0.9670226573944092
2020-07-15,1,0.9505842725435892
2020-07-16,0,0.8874218761920929
2020-07-17,2,0.9522677958011627
2020-07-19,1,0.5998942852020264
2020-07-20,1,0.5998942852020264
2020-07-23,2,0.8938490450382233
2020-07-24,0,0.84647536277771
2020-07-27,1,0.9225956797599792
2020-07-28,1,0.8576812744140625
2020-07-29,2,0.9268249273300171
2020-07-30,2,0.5367308259010315
2020-07-31,1,0.8272126515706381
2020-08-03,2,0.9544951617717743
2020-08-04,0,0.7118222713470459
2020-08-05,1,0.9257407486438751
2020-08-10,1,0.9322898983955383
2020-08-11,2,0.714347759882609
2020-08-12,2,0.805121898651123
2020-08-17,0,0.9478765726089478
2020-08-19,0,0.9290169179439545
2020-08-21,0,0.845395028591156
2020-08-24,0,0.6766213178634644
2020-08-25,0,0.9131059348583221
2020-08-26,0,0.6150508522987366
2020-08-27,2,0.8285742600758871
2020-08-28,1,0.6812000274658203
2020-08-31,2,0.5406842231750488
2020-09-02,2,0.8088834285736084
2020-09-03,0,0.7972317337989807
2020-09-08,0,0.8872106075286865
2020-09-09,0,0.6892135228429522
2020-09-10,0,0.9143095016479492
2020-09-14,2,0.6024792393048605
2020-09-15,0,0.7480069398880005
2020-09-17,0,0.7803425590197245
2020-09-23,1,0.9353225827217102
2020-09-29,2,0.5298599600791931
2020-09-30,2,0.5522785186767578
2020-10-01,1,0.9629224538803101
2020-10-02,0,0.8401172086596489
2020-10-05,1,0.9675160646438599
2020-10-06,0,0.8058263063430786
2020-10-07,1,0.95525062084198
2020-10-08,2,0.8482860028743744
2020-10-09,2,0.7717981139818827
2020-10-10,2,0.7972201108932495
2020-10-12,2,0.8327986598014832
2020-10-13,2,0.767076293627421
2020-10-14,2,0.8095210790634155
2020-10-15,2,0.818293035030365
2020-10-16,0,0.5856785774230957
2020-10-17,2,0.8152616620063782
2020-10-19,2,0.9487172365188599
2020-10-20,1,0.9641932845115662
2020-10-21,2,0.9228660464286804
